id,district,registered_voters,valid_votes,invalid_votes,total_votes,museveni,mao,tumukunde,mwesigye,muntu,mayambala,kyagulanyi,kalembe,katumba,amuriat,kabuleta
88,NAKASONGOLA,89647,54956,2416,57372,35823,58,110,73,98,20,18213,90,130,286,55
9,APAC,88834,52252,3161,55413,31908,310,537,300,326,117,16485,263,246,1483,277
7,AMURIA,88722,56536,2216,58752,34666,215,385,219,278,108,3380,214,115,16637,319
42,KALUNGU,88687,55390,1387,56777,16377,120,94,41,97,25,38352,51,81,119,33
8,AMURU,87122,35018,3103,38121,18742,2334,476,321,492,381,7466,267,238,3825,476
78,MBARARA,84209,56636,1419,58055,49807,57,190,83,792,12,4586,82,259,660,108
49,KATAKWI,83162,56246,0,56246,40777,150,290,201,254,52,2108,185,105,11710,414
99,PADER,82298,44388,3244,47632,28233,2757,817,267,495,469,8292,545,353,1570,590
54,KIRUHURA,81891,76432,311,76743,75483,7,36,8,155,1,616,16,31,78,1
52,KIBOGA,81434,48577,2052,50629,24254,57,68,44,81,10,23764,67,78,107,47
29,GOMBA,81314,54080,1564,55644,24568,50,89,46,76,16,29017,43,71,71,33
72,MANAFWA,79924,49128,1849,50977,32999,104,128,132,66,32,13740,128,91,1598,110
2,ADJUMANI,79364,46421,2540,48961,35125,225,265,183,264,81,7866,325,198,1179,710
17,BUKOMANSIMBI,76557,46384,1207,47591,13649,106,88,34,52,18,32155,42,92,118,30
102,RUBIRIZI,73848,48057,1306,49363,39686,79,360,85,515,24,6338,78,224,490,178
12,BUDUDA,73039,45115,1432,46547,29224,57,318,81,87,31,14666,85,62,421,83
93,NGORA,72976,43174,1769,44943,24662,165,268,184,156,67,2237,392,105,14618,320
19,BULAMBULI,71664,51021,1539,52560,38972,57,104,87,57,16,10788,132,43,700,65
5,AMOLATAR,71173,51276,1908,53184,38619,206,466,289,310,134,7185,240,260,3349,218
51,KIBAALE,68857,42227,1494,43721,35804,35,104,47,168,20,5429,56,71,129,364
14,BUHWEJU,66649,47619,1273,48892,41423,83,293,94,490,34,3602,123,325,993,159
10,ARUA,65738,33804,2263,36067,23824,240,232,197,271,85,7966,207,111,491,180
66,LAMWO,65223,33841,2837,36678,19322,1981,452,250,403,185,8621,679,220,1183,545
60,KOTIDO,61086,38842,4846,43688,32310,210,957,230,234,1214,2823,165,135,423,141
96,NWOYA,57186,25140,1552,26692,13910,2570,267,450,361,126,5732,396,192,809,327
91,NAPAK,56678,34543,2829,37372,32490,43,463,34,66,110,912,26,22,354,23
47,KAPCHORWA,56051,39466,1021,40487,30590,144,102,72,97,56,7542,118,83,597,65
25,BUTAMBALA,55813,36587,1135,37722,9379,47,43,38,49,16,26806,45,59,83,22
74,MASAKA,55626,34961,1187,36148,11317,95,51,59,61,9,23132,58,70,83,26
39,KABERAMAIDO,52210,32822,1456,34278,18589,196,298,244,294,201,9058,180,156,3378,228
71,LYANTONDE,51076,32271,798,33069,23967,25,58,57,137,24,7726,30,69,117,61
97,OTUKE,48541,32078,1941,34019,25464,175,225,73,165,63,4949,124,143,502,195
62,KWEEN,47080,32684,1038,33722,27467,133,105,30,49,28,4005,112,47,662,46
82,MOYO,45367,24492,1542,26034,18227,200,146,172,164,37,4648,149,75,483,191
30,GULU,45342,19839,2055,21894,9997,4011,175,117,208,598,3023,171,119,1165,255
20,BULIISA,44869,26630,1696,28326,19316,89,187,80,104,17,6152,86,50,355,194
18,BUKWO,44126,31920,975,32895,27888,56,93,52,80,72,3032,80,43,451,73
6,AMUDAT,43647,31207,246,31453,30451,7,27,20,10,4,625,6,6,47,4
26,BUVUMA,42415,21057,848,21905,6814,98,47,43,62,14,13572,106,68,208,25
36,KAABONG,41211,29784,3221,33005,26100,140,848,146,145,659,1218,74,61,318,75
94,NTOROKO,38098,24526,756,25282,19670,28,103,50,187,11,4212,68,47,89,61
81,MOROTO,38004,24433,2225,26658,21342,66,952,68,67,94,1417,60,45,211,111
1,ABIM,36539,23588,875,24463,18254,395,95,41,63,35,3956,66,179,433,71
40,KALANGALA,35465,18741,1000,19741,5275,40,35,16,35,5,13121,28,78,95,13
86,NAKAPIRIPIRIT,32661,23345,1145,24490,22029,25,129,31,23,9,978,24,19,59,19
