metric,ALL,KAMPALA,WAKISO,KASESE,MUKONO,NTUNGAMO,TORORO,LUWERO,KAMULI,BUIKWE,ISINGIRO,MAYUGE,KYENJOJO,MUBENDE,BUGIRI,KAYUNGA,IGANGA,RUKUNGIRI,OYAM,MITYANA,KAGADI,ARUA_CITY,BUSIA,KISORO,MASINDI,JINJA_CITY,MBALE_CITY,KANUNGU,KAKUMIRO,IBANDA,BUSHENYI,LWENGO,BUYENDE,KYEGEGWA,KABALE,MPIGI,RAKAI,KASSANDA,SIRONKO,SSEMBABULE,PALLISA,NEBBI,SERERE,SHEEMA,KIRYANDONGO,KYOTERA,ZOMBO,MASAKA_CITY,NAMUTUMBA,JINJA,KOLE,KUMI,KAMWENGE,LUUKA,ALEBTONG,MBARARA_CITY,YUMBE,BUNDIBUGYO,KIKUUBE,MITOOMA,LIRA_CITY,RUBANDA,BUTALEJA,KALIRO,MBALE,KYANKWANZI,KABAROLE,NAMAYINGO,NAKASEKE,GULU_CITY,LIRA,MARACHA,BUDAKA,BUKEDEA,KITGUM,AGAGO,NAMISINDWA,TEREGO,DOKOLO,KOBOKO,KAZO,SOROTI,BUNYANGABU,KIBUKU,HOIMA,NAKASONGOLA,APAC,AMURIA,KALUNGU,KWANIA,AMURU,BUGWERI,MBARARA,KATAKWI,PADER,KIRUHURA,KIBOGA,GOMBA,MANAFWA,ADJUMANI,PAKWACH,BUKOMANSIMBI,KITAGWENDA,RUBIRIZI,BUDUDA,NGORA,OMORO,BULAMBULI,AMOLATAR,RWAMPARA,KIBAALE,BUHWEJU,ARUA,LAMWO,FORT_PORTAL_CITY,MADI_OKOLLO,HOIMA_CITY,KOTIDO,RUKIGA,NWOYA,NAPAK,KAPCHORWA,SOROTI_CITY,BUTAMBALA,MASAKA,KALAKI,KABERAMAIDO,BUTEBO,LYANTONDE,OTUKE,KWEEN,MOYO,GULU,BULIISA,BUKWO,AMUDAT,BUVUMA,KAABONG,KAPELEBYONG,NTOROKO,MOROTO,ABIM,KALANGALA,NAKAPIRIPIRIT,NABILATUK,OBONGI,KARENGA
registered_voters,18103603,1280409,1154857,384058,355275,268541,268434,257115,236917,235640,233099,231116,215012,196565,193053,190977,186519,185118,184088,176029,175680,170066,163571,158552,154805,154750,147774,146064,140691,140486,140415,139772,138849,138528,136559,135726,135169,134798,132465,132240,131370,130508,130290,129151,125685,124872,123432,122339,121149,120278,119437,119112,117466,116094,115804,114511,113855,113472,112825,111839,111772,111615,110737,109466,108400,108311,107428,107234,107133,103401,103180,101182,100900,99828,99234,98354,97191,95118,93712,92845,92843,92720,92440,91971,90617,89647,88834,88722,88687,87587,87122,84953,84209,83162,82298,81891,81434,81314,79924,79364,78801,76557,76037,73848,73039,72976,72216,71664,71173,70346,68857,66649,65738,65223,65163,63404,62018,61086,60965,57186,56678,56051,56019,55813,55626,53973,52210,51443,51076,48541,47080,45367,45342,44869,44126,43647,42415,41211,39629,38098,38004,36539,35465,32661,21367,19321,18035
cast_votes,10744319,550604,574018,234004,191329,190770,160295,151964,133730,131209,203130,122114,133999,120287,104875,107010,97320,112443,102874,116133,113651,77968,100883,112014,86541,71045,78497,88295,89447,90801,87415,88105,84965,84569,91024,86944,84961,86864,81898,82054,86834,72642,79152,82529,59693,78055,64591,70791,71427,65476,70175,70723,91749,63383,68827,55074,75225,73918,67086,67798,54354,79056,71244,70504,71304,67865,65479,60992,73925,34916,63486,53070,63330,61724,55439,66533,58675,52857,60334,50839,75581,65310,57893,60660,55703,57372,55413,58752,56777,56002,38121,47064,58055,56246,47632,76743,50629,55644,50977,48961,48169,47591,47861,49363,46547,44943,37002,52560,53184,42200,43721,48892,36067,36678,37776,39498,36059,43688,39795,26692,37372,40487,31627,37722,36148,35978,34278,36735,33069,34019,33722,26034,21894,28326,32895,31453,21905,33005,27428,25282,26658,24463,19741,24490,16931,12883,14830
