metric,ALL,KAMPALA,WAKISO,KASESE,MUKONO,NTUNGAMO,TORORO,LUWERO,KAMULI,BUIKWE,ISINGIRO,MAYUGE,KYENJOJO,MUBENDE,BUGIRI,KAYUNGA,IGANGA,RUKUNGIRI,OYAM,MITYANA,KAGADI,ARUA_CITY,BUSIA,KISORO,MASINDI,JINJA_CITY,MBALE_CITY,KANUNGU,KAKUMIRO,IBANDA,BUSHENYI,LWENGO,BUYENDE,KYEGEGWA,KABALE,MPIGI,RAKAI,KASSANDA,SIRONKO,SSEMBABULE,PALLISA,NEBBI,SERERE,SHEEMA,KIRYANDONGO,KYOTERA,ZOMBO,MASAKA_CITY,NAMUTUMBA,JINJA,KOLE,KUMI,KAMWENGE,LUUKA,ALEBTONG,MBARARA_CITY,YUMBE,BUNDIBUGYO,KIKUUBE,MITOOMA,LIRA_CITY,RUBANDA,BUTALEJA,KALIRO,MBALE,KYANKWANZI,KABAROLE,NAMAYINGO,NAKASEKE,GULU_CITY,LIRA,MARACHA,BUDAKA,BUKEDEA,KITGUM,AGAGO,NAMISINDWA,TEREGO,DOKOLO,KOBOKO,KAZO,SOROTI,BUNYANGABU,KIBUKU,HOIMA,NAKASONGOLA,APAC,AMURIA,KALUNGU,KWANIA,AMURU,BUGWERI,MBARARA,KATAKWI,PADER,KIRUHURA,KIBOGA,GOMBA,MANAFWA,ADJUMANI,PAKWACH,BUKOMANSIMBI,KITAGWENDA,RUBIRIZI,BUDUDA,NGORA,OMORO,BULAMBULI,AMOLATAR,RWAMPARA,KIBAALE,BUHWEJU,ARUA,LAMWO,FORT_PORTAL_CITY,MADI_OKOLLO,HOIMA_CITY,KOTIDO,RUKIGA,NWOYA,NAPAK,KAPCHORWA,SOROTI_CITY,BUTAMBALA,MASAKA,KALAKI,KABERAMAIDO,BUTEBO,LYANTONDE,OTUKE,KWEEN,MOYO,GULU,BULIISA,BUKWO,AMUDAT,BUVUMA,KAABONG,KAPELEBYONG,NTOROKO,MOROTO,ABIM,KALANGALA,NAKAPIRIPIRIT,NABILATUK,OBONGI,KARENGA
turned_up,0.59,0.43,0.50,0.61,0.54,0.71,0.60,0.59,0.56,0.56,0.87,0.53,0.62,0.61,0.54,0.56,0.52,0.61,0.56,0.66,0.65,0.46,0.62,0.71,0.56,0.46,0.53,0.60,0.64,0.65,0.62,0.63,0.61,0.61,0.67,0.64,0.63,0.64,0.62,0.62,0.66,0.56,0.61,0.64,0.48,0.63,0.52,0.58,0.59,0.54,0.59,0.59,0.78,0.55,0.59,0.48,0.66,0.65,0.60,0.61,0.49,0.71,0.64,0.64,0.66,0.63,0.61,0.57,0.69,0.34,0.62,0.53,0.63,0.62,0.56,0.68,0.60,0.56,0.64,0.55,0.81,0.70,0.63,0.66,0.62,0.64,0.62,0.66,0.64,0.64,0.44,0.55,0.69,0.68,0.58,0.94,0.62,0.68,0.64,0.62,0.61,0.62,0.63,0.67,0.64,0.62,0.51,0.73,0.75,0.60,0.64,0.73,0.55,0.56,0.58,0.62,0.58,0.72,0.65,0.47,0.66,0.72,0.57,0.68,0.65,0.67,0.66,0.71,0.65,0.70,0.72,0.57,0.48,0.63,0.75,0.72,0.52,0.80,0.69,0.66,0.70,0.67,0.56,0.75,0.79,0.67,0.82
absent,0.41,0.57,0.50,0.39,0.46,0.29,0.40,0.41,0.44,0.44,0.13,0.47,0.38,0.39,0.46,0.44,0.48,0.39,0.44,0.34,0.35,0.54,0.38,0.29,0.44,0.54,0.47,0.40,0.36,0.35,0.38,0.37,0.39,0.39,0.33,0.36,0.37,0.36,0.38,0.38,0.34,0.44,0.39,0.36,0.53,0.38,0.48,0.42,0.41,0.46,0.41,0.41,0.22,0.45,0.41,0.52,0.34,0.35,0.41,0.39,0.51,0.29,0.36,0.36,0.34,0.37,0.39,0.43,0.31,0.66,0.39,0.48,0.37,0.38,0.44,0.32,0.40,0.44,0.36,0.45,0.19,0.30,0.37,0.34,0.39,0.36,0.38,0.34,0.36,0.36,0.56,0.45,0.31,0.32,0.42,0.06,0.38,0.32,0.36,0.38,0.39,0.38,0.37,0.33,0.36,0.38,0.49,0.27,0.25,0.40,0.37,0.27,0.45,0.44,0.42,0.38,0.42,0.29,0.35,0.53,0.34,0.28,0.44,0.32,0.35,0.33,0.34,0.29,0.35,0.30,0.28,0.43,0.52,0.37,0.26,0.28,0.48,0.20,0.31,0.34,0.30,0.33,0.44,0.25,0.21,0.33,0.18
