district,registered_voters,valid_votes,invalid_votes,total_votes,ratio_turnout,ratio_valid,per_turnup
KIBAALE,68857,42227,1494,43721,0.64,0.97,64
KABERAMAIDO,52210,32822,1456,34278,0.66,0.96,66
HOIMA_CITY,62018,34609,1450,36059,0.58,0.96,58
BUDUDA,73039,45115,1432,46547,0.64,0.97,64
FORT_PORTAL_CITY,65163,36352,1424,37776,0.58,0.96,58
MBARARA,84209,56636,1419,58055,0.69,0.98,69
KIBUKU,91971,59246,1414,60660,0.66,0.98,66
KALUNGU,88687,55390,1387,56777,0.64,0.98,64
RUBIRIZI,73848,48057,1306,49363,0.67,0.97,67
BUHWEJU,66649,47619,1273,48892,0.73,0.97,73
SOROTI_CITY,56019,30375,1252,31627,0.57,0.96,57
BUKOMANSIMBI,76557,46384,1207,47591,0.62,0.98,62
KITAGWENDA,76037,46670,1191,47861,0.63,0.98,63
MASAKA,55626,34961,1187,36148,0.65,0.97,65
NAKAPIRIPIRIT,32661,23345,1145,24490,0.75,0.95,75
BUTAMBALA,55813,36587,1135,37722,0.68,0.97,68
KAMWENGE,117466,90662,1087,91749,0.78,0.99,78
KAZO,92843,74503,1078,75581,0.81,0.99,81
KWEEN,47080,32684,1038,33722,0.72,0.97,72
KAPCHORWA,56051,39466,1021,40487,0.72,0.98,72
KALANGALA,35465,18741,1000,19741,0.56,0.95,56
BUKWO,44126,31920,975,32895,0.75,0.97,75
BUTEBO,51443,35823,912,36735,0.71,0.98,71
OBONGI,19321,11999,884,12883,0.67,0.93,67
ABIM,36539,23588,875,24463,0.67,0.96,67
BUVUMA,42415,21057,848,21905,0.52,0.96,52
LYANTONDE,51076,32271,798,33069,0.65,0.98,65
NTOROKO,38098,24526,756,25282,0.66,0.97,66
RWAMPARA,70346,41453,747,42200,0.6,0.98,60
KARENGA,18035,14157,673,14830,0.82,0.96,82
NABILATUK,21367,16395,536,16931,0.79,0.97,79
KIRUHURA,81891,76432,311,76743,0.94,1,94
AMUDAT,43647,31207,246,31453,0.72,0.99,72
SIRONKO,132465,81891,7,81898,0.62,1,62
PAKWACH,78801,48169,0,48169,0.61,1,61
BUDAKA,100900,63330,0,63330,0.63,1,63
KATAKWI,83162,56246,0,56246,0.68,1,68
